alias,comp,cond_sterling,cond_rivera,legi_sterling,legi_rivera,cond_rivera_original,legi_rivera_original
0001,marble,fair,good,poor,poor,2_sound_displaced,4_traces
0002,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0003,marble,fair,good,poor,fair,2_sound_displaced,3_mainly_legible
0004,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0005,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0006,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0007,marble,poor,fair,poor,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0008,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0009,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0010,marble,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0011,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0012,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0013,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0014,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0015,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0016,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0017,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0018,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0019,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0020,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0021,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0022,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0023,slate,fair,good,good,good,2_sound_displaced,1_mint
0024,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0025,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0026,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0027,marble,fair,good,poor,poor,2_sound_displaced,4_traces
0028,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0029,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0030,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0031,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0032,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0033,marble,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0034,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0035,slate,good,good,good,fair,2_sound_displaced,3_mainly_legible
0036,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0037,marble,fair,good,poor,unknown,2_sound_displaced,6_face_down
0038,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0039,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0040,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0041,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0042,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0043,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0044,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0045,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0046,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0047,marble,good,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0048,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0049,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0050,sandstone,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0051,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0052,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0053,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0054,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0055,marble,fair,good,poor,poor,2_sound_displaced,4_traces
0056,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0057,marble,fair,good,good,fair,2_sound_displaced,3_mainly_legible
0058,marble,fair,good,good,unknown,2_sound_displaced,6_face_down
0059,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0060,marble,fair,fair,poor,unknown,3_falling_apart_incomplete_recognizable,6_face_down
0061,slate,poor,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0062,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0063,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0064,marble,good,good,good,unknown,2_sound_displaced,6_face_down
0065,marble,good,good,good,unknown,2_sound_displaced,6_face_down
0066,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0067,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0068,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0069,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0070,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0071,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0072,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0073,marble,good,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0074,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0075,marble,good,good,fair,unknown,2_sound_displaced,6_face_down
0076,marble,fair,good,fair,good,2_sound_displaced,2_all_legible
0077,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0078,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0079,marble,good,fair,fair,good,3_falling_apart_incomplete_recognizable,2_all_legible
0080,marble,good,good,good,unknown,2_sound_displaced,6_face_down
0081,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0082,marble,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0083,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0084,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0085,marble,good,good,poor,good,1_sound_in_situ_or_leaning,2_all_legible
0086,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0087,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0088,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0089,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0090,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0091,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0092,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0093,slate,poor,fair,fair,poor,3_falling_apart_incomplete_recognizable,4_traces
0094,slate,good,good,good,good,2_sound_displaced,1_mint
0095,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0096,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0097,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0098,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0099,marble,fair,good,poor,unknown,2_sound_displaced,6_face_down
0100,marble,fair,good,fair,fair,2_sound_displaced,3_mainly_legible
0101,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,5_illegible_destroyed
0102,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0103,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0104,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0105,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0106,marble,fair,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0107,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0108,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0109,marble,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0110,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0111,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0112,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0113,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0114,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0115,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0116,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0117,marble,poor,fair,fair,poor,3_falling_apart_incomplete_recognizable,4_traces
0118,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0119,marble,fair,good,fair,poor,2_sound_displaced,4_traces
0120,marble,poor,fair,fair,poor,3_falling_apart_incomplete_recognizable,4_traces
0121,marble,good,good,fair,unknown,2_sound_displaced,6_face_down
0122,marble,good,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0123,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0124,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0125,marble,poor,poor,fair,unknown,4_collapsed_form_unknown,6_face_down
0126,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0127,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0128,marble,fair,good,poor,poor,2_sound_displaced,4_traces
0129,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0130,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0131,marble,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0132,marble,good,good,good,poor,1_sound_in_situ_or_leaning,4_traces
0133,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0134,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0135,marble,fair,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0136,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0137,marble,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0138,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0139,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0140,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0141,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0142,marble,poor,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0143,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0144,marble,good,fair,good,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0145,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0146,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0147,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0148,marble,poor,gone,poor,,6_in_sterling_no_longer_identifiable_on_site,
0149,marble,poor,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0150,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0151,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0152,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0153,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0154,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0155,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0156,marble,,good,,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0157,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0158,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0159,marble,poor,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0160,marble,poor,fair,fair,poor,3_falling_apart_incomplete_recognizable,5_illegible_destroyed
0161,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0162,slate,good,good,good,good,2_sound_displaced,1_mint
0163,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0164,slate,good,fair,good,good,3_falling_apart_incomplete_recognizable,2_all_legible
0165,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0166,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0167,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0168,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0169,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0170,slate,good,fair,good,good,3_falling_apart_incomplete_recognizable,1_mint
0171,slate,good,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0172,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0173,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0174,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0175,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0176,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0177,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0178,marble,fair,good,fair,unknown,2_sound_displaced,6_face_down
0179,marble,poor,fair,fair,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0180,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0181,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0182,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0183,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0184,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0185,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0186,marble,poor,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0187,slate,fair,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0188,slate,good,good,good,poor,1_sound_in_situ_or_leaning,4_traces
0189,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0190,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0191,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,5_illegible_destroyed
0192,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0193,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0194,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0195,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0196,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0197,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0198,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0199,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0200,marble,fair,fair,poor,poor,3_falling_apart_incomplete_recognizable,5_illegible_destroyed
0201,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0202,slate,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0203,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0204,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0205,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0206,slate,fair,good,good,good,1_sound_in_situ_or_leaning,1_mint
0207,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0208,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0209,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0210,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0211,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0212,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0213,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0214,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0215,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0216,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0217,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0218,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0219,slate,poor,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0220,slate,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0221,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0222,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0223,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0224,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0225,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0226,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0227,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0228,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0229,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0230,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0231,slate,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0232,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0233,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0234,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0235,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0236,slate,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0237,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0238,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0239,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0240,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0241,slate,good,good,good,fair,2_sound_displaced,3_mainly_legible
0242,marble,fair,good,poor,fair,2_sound_displaced,3_mainly_legible
0243,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0244,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0245,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0246,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0247,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0248,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,5_illegible_destroyed
0249,slate,fair,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0250,marble,fair,poor,fair,poor,4_collapsed_form_unknown,5_illegible_destroyed
0251,marble,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0252,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0253,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0254,marble,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0255,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0256,marble,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0257,,,good,,poor,1_sound_in_situ_or_leaning,4_traces
0258,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0259,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0260,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0261,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0262,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0263,marble,fair,fair,good,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0264,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
