hash256,section,composition,condition,legibility,estimated_installation_year
0049ac1ffd32c23bdfecec450ef57c849c11214f55313b5ffc5319446b305eb6,AA,slate,good,good,1815
0052007a21903ea02fc734164c412ded3fc8dd57631dac7ca34499d5f08e8ec9,AA,marble,fair,good,1831
005712d26d6009645a85b5a6bfecf3b213b9cb52ace8e831b11d925db76e8f6f,AA,marble,fair,poor,1837
00d2ec8c326523339228477bdf2a0226e5f3b0f9b2246f21161d9973ae8fee64,AA,,,,1803
00e5d3a1ac5b842b06c456d2711495ff041ad3c67eef713c8ff99d801af8b524,AA,marble,poor,poor,1831
010a7bf7f110fff3e8c76ed8a27e7770de104fdc0f54c31b5945aa65676580cd,AA,slate,good,good,1854
016a9418f7966df775f56dbe4aa86e708c20c6ba98853c764f9090198786f885,AA,slate,good,good,1820
016cd37330bee8fcc49e358710e02080d6cdfae5d9885ce93fe676f0c3f0d0d7,AA,marble,fair,poor,1821
0175df67690f8bf667e39631ac3de987c4f4e511e9155e6ab97f927945fab3c7,AA,marble,fair,fair,1833
01b29fe972ad05dac8d9742284cb52a7b80538d933a6f84419d38142bfd02623,AA,granite,good,good,1913
01e49d1745ec9c2e243f3bd0df430a966e38cc84a6636958c91e76e4ce63ae57,AA,marble,good,good,1879
02277229442a6fdfb892c24615273f8f8d0d83c24564bc60ed89f62236e3377a,AA,slate,good,good,1778
024a02425e72c95f8515160e3657d4224bc90327de3567c8e7211a6c3ef59845,AA,marble,fair,poor,1841
0263d5cf8f0f096b636a079febbbc17fd500e19a03816f98f41b9972fd2b151d,AA,marble,fair,good,1823
029c0babf0908ab3d7ba9e23f3eda60872782f0837ec7db8780d6f5293af123b,AA,marble,poor,poor,1786
02ad3adb8b1f66fe14e7376b95c475037373f217481fa05ba64ceea6e24a23a9,AA,slate,fair,good,1776
03294e79ad89b365d9845d8d9a055c59580361fe3f824723c65a6b8e2be6f236,AA,slate,good,good,1837
0336eb79d3ca9c938c494dba9ace8a114bb8ee948a7aa8caf5bf4009c0a46cfe,AA,slate,good,good,1817
038c076fb4b9e96cc6a47ae1c82c3cec3e8849028a04fd2c1c3007e53e05835d,AA,slate,good,good,1790
039571762ac6adcfbf1be3a9260b8bd92505b1e64eb44f922614d454c065ddaf,AA,,,,1858
041a0bd87e5d43addd3d501f6d6e08a915b1aaf58392dc92590fc7bb0be91a6e,AA,marble,good,good,1870
041e8d05b48aaef65063ed235b8c0204259af080c34daaeb1058f85424953b10,AA,granite,good,good,
046f7e6ad3a457a42d756451753b8d39d6d96129e3304ee9c98dcaddf4971136,AA,marble,fair,poor,1836
0485b1bf966c5e0cd346164fb4935d93dacbe828e8e435725babe3af08c3e720,AA,marble,poor,poor,
