hash256,birth_year_value,death_year_value,birth_city,birth_state,birth_city_lat_long,birth_country,death_city,death_state,death_country,death_city_latitude_longitude
8d3ee8bdc9b4bb8ae2e7d750a4ab2aae3f684845ba64d7b78386910b6f6c54a2,1610,1700,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
e9c582e8a385698710a44847ad8d2a4652dfde0f6821dd9d5d745695b25a965c,1617,1685,,,NA,England,Providence,RI,United States of America,"41.82442, -71.41251"
979fcb83581c1bc89ba14ef2ae80fe5b62a4ffbdd3e1b0fdb20a4b2c3e9ed62b,1624,1666,Dochester New England,,"42.29687, -71.07450",United States of America,,,,
6735a90b5f44179f425cb7563c959b05c3bfd5ad369d9800dc7f6691b0162cf6,1664,1739,Providence,RI,"41.82442, -71.41251",United States of America,,,,
283993c9ab268cb3f7e56ba62304a06c9d7219f5a56ee0aac3fb7d892cdef3eb,1671,1758,Providence,RI,"41.82442, -71.41251",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
20acaa9846c226bbf97bd70b719d457391c1a335b967252656f605fe9a3bd50b,1697,1769,Boston,MA,"42.3555, -71.0603",United States of America,,,,
5a81a1e9988cdc74b27b0f7baa40242e1aa1e0b81091c93a98f7eecb3477d8b3,1698,1781,,,,,North Providence,RI,United States of America,"41.84987, -71.46598"
7ba1543a4dd626455a81c90a40cff9e90dfc93e1c51a2b5961cc5fc06de3b96b,1701,1755,Rehoboth,MA,"41.85396, -71.23999",United States of America,Rehoboth,MA,United States of America,"41.85396, -71.23999"
36385774dcd9aee6121aa8eae5adbd3f5ed775f7ae5b340c4cc14e3c2f5006ab,1702,1769,Sutton,MA,"42.1502, -71.7644",United States of America,,,,
8c3b9159b755a6f428783673a2e4eb6048a8558deda391518567d3c9732bd810,1703,1786,London,,"51.5070, -0.1318",England,East Greenwich,RI,United States of America,"41.66073, -71.45525"
935843d61b99269eef1588053427eb35c56f7e2eced4d17d0ae2a40221541aa7,1704,1730,Dundee,,"56.4663, -2.9773",Scotland,,,,
dbe7061f2bb76dfabbf7bfa98b87a5c0a05e153b2c366e829aa7d43d685b77c5,1704,1729,,,,,Bridgewater,MA,United States of America,"41.98910, -70.97425"
614ff55c3dd5df849ab9c80c0fbdb1a87c26b3d00402bcab3add32a9a33e192e,1712,1730,London,,"51.5070, -0.1318",England,,,,
386732db4f9104ddc8815a9518cb9212ad4fdb9ead9513992f669e33be4b6669,1716,1754,,,,,London,,England,"51.5070, -0.1318"
019d181f0ac2b6ef577725b74dd75d771400a5fd97605bd6530b5e604ca3867e,1724,1807,Rehoboth,MA,"41.85396, -71.23999",United States of America,,,,
24fd91b91aa7992c5239768c8501678bd77955215ce2f2f6bf80a2b584e23bb7,1724,1802,Rehoboth,MA,"41.85396, -71.23999",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
da523a19c444c5c8ba26f919fae236142661de9f3b84b4b11bf25bc49ac4e936,1725,1785,Rehoboth,MA,"41.85396, -71.23999",United States of America,,,,
24930a8767b2c58928c3e0e162dc004ebb8077e11d7e64765b3aaeb0cd34f25d,1725,1751,,,,,York,VA,United States of America,"37.2232, -76.5184"
96a959fa9354ae75dc21afff0aa5081fcf7460d667e420c91fa974278e1455d3,1729,1812,Swansea,MA,"41.74916, -71.19123",United States of America,,,,
5dbf891c10116aaf6c0354456f350e22ed5a3f341065ac13fb470372cc44f341,1732,1805,Rehoboth ,MA,"41.85396, -71.23999",United States of America,,,,
fb5f7d598bac10d1b3e8d863a32ea83386e30ceef36c3dc7f55c7b57617b3f47,1734,1816,East Greenwich,RI,"41.66073, -71.45525",United States of America,,,,
42f749055de3ab37d07841b8325da2b02d26e9a0f96135608ba434b805eaf221,1735,1753,,,,,Cape Breton,,Canada,"46.27038702138829, -60.87344466050609"
a0482076b545b75d17e13497e1a1f1e07a518bce14d5bb960d95e05d9a41496b,1737,1815,,,,,Woodstock,CT,United States of America,"41.9483, -71.9721"
6ddb46df5aeb07473dd10777b54e21d67f2bea793b955b873ee3b8012bfabb36,1738,1823,East Greenwich,RI,"41.66073, -71.45525",United States of America,,,,
132ca2e224745bbb3928e7c81ac7844febfdf7064ee4508151802c594dade4ad,1739,1811,Dighton,MA,"41.81495, -71.12051",United States of America,,,,
815faa98ee8493d51067fda47e19fae73828dcfe32ef3e5c6698351407b19c6c,1740,1817,New London,CT,"41.3554, -72.0992",United States of America,,,,
926af36d425ab24ce73cfa9919344c4b2f95110d1e92f01d3e487ed758d8b238,1740,1787,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
40ea17ddf298da056bc50f908966067eddc61c6b50177a4f377be5b71038a02d,1741,1804,,,,,Wrentham,MA,United States of America,"42.06701, -71.32822"
e46b1de8667e5a4332ee641fea4cd656bd35ba0aeca853eac52e8913b2b7d968,1742,1821,Charleston,SC,"32.7879, -79.9379",United States of America,,,,
290f357ba0e5ef8a1a79a6c22f17f0b6f5799af4e032c13405b8eb770d96f3c3,1743,1825,,,,England,Providence,RI,United States of America,"41.82442, -71.41251"
137b9df434695757b9693ec874945503d64f8526c0cc588dcd0dd92649c370b3,1744,1826,Newport,RI,"41.49032, -71.31363",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
0a24e3465344d184ecb84aa0f485b7c5c6ca9f310c24f299d7dc3a26d48e4e64,1746,1781,,,,,Petersburg,VA,United States of America,"37.22800, -77.40194"
6d04006b2dfba04a73b7da69ad5e81c5d9db7452883386f9c95805084b74dac0,1747,1828,Pawtucket,RI,"41.87915, -71.38178",United States of America,,,,
05ecae92af0a99a745702b2e02f277691cfd49059d8e6c8dfe8f731018b96fc3,1747,1836,,,,,Cranston,RI,United States of America,"41.77899, -71.43723"
5702cb1d0ad99dedc0a197608f79e2e8cb0a867d15f556cf7271659ab844e579,1748,1828,,,,,Attleborough,MA,United States of America,"41.92482, -71.34976"
5dc2c8ed45d61ffeff829cb555e7b76f1e34f66ac4bd5db9149b492681f32b58,1749,1818,Rehoboth,MA,"41.85396, -71.23999",United States of America,,,,
dc878a4b05337ab3b7679a1c44f77f51e9d77c7417b3d446e37f0ad3f5713bd0,1750,1822,Thompson,CT,"41.9580, -71.8626",United States of America,,,,
af02f26be9066da58f6d7f7028601e3d80c78e8927166f39e5765e8010d65a5c,1751,1798,Worcester County,MA,"42.2600, -71.7991",United States of America,,,,
0b3cfc6f2ae1541a5e3d1c380ff34778e83e22ee29382e68c0162950e61a4518,1751,1822,Boston,MA,"42.3555, -71.0603",United States of America,Seekonk,MA,United States of America,"41.8077, -71.3325"
0ad167fbe399409f26f59e4f5ad626adb9cc8a9551a3525d25d0841196193679,1752,1836,Newport,RI,"41.49032, -71.31363",United States of America,Brooklyn,CT,United States of America,"41.78795, -71.95015"
b519813dc5a27d2d58d261ad4bd525eb63601f3b35a6a2f05e9976e48a89c066,1753,1831,North Providence,RI,"41.84987, -71.46598",United States of America,,,,
47d86b2f46719eb2867a91f95f065453bf9daf34a421cd84a12b5bdbc1abceaa,1753,1787,,,,,Woodstock,CT,United States of America,"41.9483, -71.9721"
3b04eea6a01ddaf1e865e53def09767a356afeec0d9d658017c25bfaa0d7fc4d,1755,1839,New Haven,CT,"41.3088, -72.9259",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
d2b3c5471a8018b1b7ec3107b612d59ed713c5c70158522c8eeeaeae9574f3aa,1755,1825,,,,,Attleborough,MA,United States of America,"41.92482, -71.34976"
d130890bbebd97118dbc811cf1dfeaadb65fbe6576f16f2f8b8d50b54d9a63ca,1755,1843,Boston,MA,"42.3555, -71.0603",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
529fb76edd3fd73488bd2f57e134d77e167516dfd1fbdd362766d0fc455ce2a9,1756,1826,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
cc6f1862354b079a8b68e74c0d09297c0493b8399c6e310ec79bfa1e4a74ad1a,1756,1855,Newport,RI,"41.49032, -71.31363",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
6b5a3c611c4a8c64406bd68d1bcb41faa15d416159210f8782f69d2fa8ddb3f1,1756,1822,Newport,RI,"41.49032, -71.31363",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
5e31ee322c4e3c00ac95a48e49d73f3e94538a813ee8bfc92af9fe1175d7182f,1756,1828,Cranston,RI,"41.77899, -71.43723",United States of America,,,,
01f1404d3a2ab7847962035ec0a7ce22a27d6a63c460af0eb740e9218bddf452,1756,1792,,,,,Cape Tiberoon,,Hispaniola,"18.381, -73.369"
25d6a0f37db1a2864e707caa5902cf57481b5a365fb5baef87dbf441daba6d1a,1757,1825,,,,,Newport,RI,United States of America,"41.49032, -71.31363"
f16ea34948c994c13eeaf1437daa338731943b9801c89148c999e7bab313808b,1758,1842,Newport,RI,"41.49032, -71.31363",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
8bd4695a58c0e3a773cb088b080879965cb497e4d64b27b76a7181b228c39984,1758,1845,Providence,RI,"41.82442, -71.41251",United States of America,,,,
773d594b7a4b95930be641b756a8f2e1868075949aea4831c872053a2c7fb0b7,1758,1826,,,,,Newport,RI,United States of America,"41.49032, -71.31363"
8172e9a380504500ee4c9b99e5f12bc2ff1f0133e17cd22ab26480de9fd1fac2,1759,1821,Gloucester,RI,"41.9115, -71.7160",United States of America,,,,
a474e99f04aacfa37840c590a51207ca3983e43712cbd2f67a6cc87e260d6a8a,1759,1846,,,,,Warwick,RI,United States of America,"41.7001, -71.4595"
6735555ccfad8cea26a1cb58883499f393e451a249c5f37ac75dcb65f822dbd0,1759,1840,Boston,MA,"42.3555, -71.0603",United States of America,,,,
33a185c06cb310648161c390bff7643cdb8f87124d6fc2b98a58355e3e950c4a,1760,1834,,,,,Boston,MA,United States of America,"42.3555, -71.0603"
5309de8032d0eff2e06649cbd9fabcf776cf094fb85a8b29b5787be21614ad65,1760,1806,,,,,Philadelphia,PA,United States of America,"39.9508, -75.1643"
466fe6819fde4d774e0b4eadae6997e6a491b35afbe256a8c36c1ed5424bd422,1760,1832,Johnston,RI,"41.83069, -71.54211",United States of America,Cranston,RI,United States of America,"41.77899, -71.43723"
b879ca2dfea4e2c6b7f905f3939f2367c69a2993e511b1c427f7dea3a3bad576,1761,1826,Andover,MA,"42.6592, -71.1375",United States of America,,,,
b0937b1cb92a601cea3ca961ec64c706159661672442d7f6e9aff0c9964f7a6c,1762,1829,Swanzey,MA,"41.74916, -71.19123",United States of America,Providence Neck,RI,United States of America,"41.82442, -71.41251"
65e55f98062d4c053d17b78f6c2f6c84d6bd239630727db26ce53a9cb87f5ec1,1763,1796,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
3a471061fda2505f2cdcbfe730213ee7659bd72036f9db966fec4df2874ebf97,1763,1797,,,,,Charlestown,SC,United States of America,"32.7879, -79.9379"
7a843f4db5496c5b9eb9f934ea6b650910d8fe3c40483affd87175b3220fbca5,1763,1837,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
9371390aedfdf5e53bb1ac4a40358f4ea6e693ccb89c97a5738f506865c02280,1763,1843,,,,,Phenix,RI,United States of America,"41.71982, -71.53228"
696c8ca971b3c7f42b8f93b8c882c6231cb484ad4b24a039d4419c035ab5be8d,1764,1803,,,,,Alexandria,DC,,"38.80507, -77.04763"
17421977dcf2bb2f74e078a51bb4114d7ab718f8d10b48119e7849fb12787744,1764,1843,,,,,North Providence,RI,United States of America,"41.84987, -71.46598"
9ffdb53d4b91bd783dad1a7523b0a83c82404c06af1b4b1904ecc9b7fcd5a417,1765,1837,Rochester,NH,"43.3039, -70.9751",United States of America,Newport,RI,United States of America,"41.49032, -71.31363"
